CustomerID,BusinessName,ContactPerson,ContactEmail,ContactPhone,Address,City,State,CustomerType,CreditLimit
1,Business_1,Contact_1,contact_1@business.com,555-8165,967 Main St,City_19,IL,Hotel,5000
2,Business_2,Contact_2,contact_2@business.com,555-6858,712 Main St,City_8,NY,Hotel,10000
3,Business_3,Contact_3,contact_3@business.com,555-6625,891 Main St,City_5,TX,Restaurant,15000
4,Business_4,Contact_4,contact_4@business.com,555-3740,443 Main St,City_7,IL,Hotel,10000
5,Business_5,Contact_5,contact_5@business.com,555-6636,863 Main St,City_11,NY,Restaurant,5000
6,Business_6,Contact_6,contact_6@business.com,555-9278,761 Main St,City_11,CA,Catering,5000
7,Business_7,Contact_7,contact_7@business.com,555-2878,609 Main St,City_20,TX,Cafe,20000
8,Business_8,Contact_8,contact_8@business.com,555-9515,436 Main St,City_15,FL,Catering,20000
9,Business_9,Contact_9,contact_9@business.com,555-5514,972 Main St,City_14,IL,Restaurant,10000
10,Business_10,Contact_10,contact_10@business.com,555-7910,196 Main St,City_4,IL,Catering,5000
11,Business_11,Contact_11,contact_11@business.com,555-4586,131 Main St,City_2,FL,Hotel,10000
12,Business_12,Contact_12,contact_12@business.com,555-1859,247 Main St,City_10,TX,Catering,15000
13,Business_13,Contact_13,contact_13@business.com,555-4820,795 Main St,City_9,FL,Catering,15000
14,Business_14,Contact_14,contact_14@business.com,555-6844,820 Main St,City_9,TX,Restaurant,5000
15,Business_15,Contact_15,contact_15@business.com,555-5743,397 Main St,City_18,NY,Restaurant,10000
16,Business_16,Contact_16,contact_16@business.com,555-5309,119 Main St,City_14,NY,Catering,5000
17,Business_17,Contact_17,contact_17@business.com,555-8954,103 Main St,City_15,TX,Restaurant,10000
18,Business_18,Contact_18,contact_18@business.com,555-8139,518 Main St,City_7,NY,Catering,20000
19,Business_19,Contact_19,contact_19@business.com,555-2527,389 Main St,City_10,IL,Hotel,15000
20,Business_20,Contact_20,contact_20@business.com,555-4566,766 Main St,City_1,TX,Catering,10000
21,Business_21,Contact_21,contact_21@business.com,555-7480,382 Main St,City_8,IL,Restaurant,20000
22,Business_22,Contact_22,contact_22@business.com,555-4652,911 Main St,City_10,TX,Hotel,15000
23,Business_23,Contact_23,contact_23@business.com,555-4403,560 Main St,City_10,CA,Restaurant,10000
24,Business_24,Contact_24,contact_24@business.com,555-3453,350 Main St,City_10,FL,Hotel,5000
25,Business_25,Contact_25,contact_25@business.com,555-5245,809 Main St,City_6,FL,Restaurant,20000
26,Business_26,Contact_26,contact_26@business.com,555-9016,352 Main St,City_11,TX,Catering,20000
27,Business_27,Contact_27,contact_27@business.com,555-7720,258 Main St,City_16,TX,Restaurant,5000
28,Business_28,Contact_28,contact_28@business.com,555-8827,946 Main St,City_20,FL,Hotel,20000
29,Business_29,Contact_29,contact_29@business.com,555-9674,173 Main St,City_2,IL,Catering,20000
30,Business_30,Contact_30,contact_30@business.com,555-4655,537 Main St,City_16,FL,Restaurant,15000
31,Business_31,Contact_31,contact_31@business.com,555-9002,971 Main St,City_11,TX,Restaurant,5000
32,Business_32,Contact_32,contact_32@business.com,555-7370,878 Main St,City_9,TX,Hotel,15000
33,Business_33,Contact_33,contact_33@business.com,555-6819,434 Main St,City_15,IL,Catering,10000
34,Business_34,Contact_34,contact_34@business.com,555-3001,964 Main St,City_18,TX,Cafe,20000
35,Business_35,Contact_35,contact_35@business.com,555-7916,336 Main St,City_10,FL,Restaurant,15000
36,Business_36,Contact_36,contact_36@business.com,555-3732,989 Main St,City_5,TX,Hotel,10000
37,Business_37,Contact_37,contact_37@business.com,555-4242,269 Main St,City_3,FL,Cafe,10000
38,Business_38,Contact_38,contact_38@business.com,555-7358,377 Main St,City_1,CA,Hotel,20000
39,Business_39,Contact_39,contact_39@business.com,555-2184,966 Main St,City_18,TX,Hotel,10000
40,Business_40,Contact_40,contact_40@business.com,555-6565,332 Main St,City_12,TX,Hotel,10000
41,Business_41,Contact_41,contact_41@business.com,555-5673,189 Main St,City_13,IL,Hotel,15000
42,Business_42,Contact_42,contact_42@business.com,555-5860,381 Main St,City_18,IL,Hotel,5000
43,Business_43,Contact_43,contact_43@business.com,555-1169,510 Main St,City_15,TX,Hotel,10000
44,Business_44,Contact_44,contact_44@business.com,555-5962,150 Main St,City_9,CA,Restaurant,10000
45,Business_45,Contact_45,contact_45@business.com,555-5430,733 Main St,City_8,IL,Hotel,5000
46,Business_46,Contact_46,contact_46@business.com,555-1006,955 Main St,City_10,CA,Catering,5000
47,Business_47,Contact_47,contact_47@business.com,555-1425,582 Main St,City_5,IL,Restaurant,20000
48,Business_48,Contact_48,contact_48@business.com,555-2322,622 Main St,City_11,CA,Catering,10000
49,Business_49,Contact_49,contact_49@business.com,555-9081,763 Main St,City_20,FL,Hotel,5000
50,Business_50,Contact_50,contact_50@business.com,555-4715,443 Main St,City_4,TX,Cafe,20000
51,Business_51,Contact_51,contact_51@business.com,555-9469,483 Main St,City_19,TX,Restaurant,15000
52,Business_52,Contact_52,contact_52@business.com,555-3003,110 Main St,City_18,IL,Restaurant,15000
53,Business_53,Contact_53,contact_53@business.com,555-8620,940 Main St,City_5,CA,Restaurant,10000
54,Business_54,Contact_54,contact_54@business.com,555-1487,129 Main St,City_3,TX,Restaurant,5000
55,Business_55,Contact_55,contact_55@business.com,555-6702,415 Main St,City_8,TX,Cafe,10000
56,Business_56,Contact_56,contact_56@business.com,555-1601,885 Main St,City_2,FL,Hotel,10000
57,Business_57,Contact_57,contact_57@business.com,555-9990,227 Main St,City_10,TX,Cafe,20000
58,Business_58,Contact_58,contact_58@business.com,555-2831,173 Main St,City_12,CA,Cafe,10000
59,Business_59,Contact_59,contact_59@business.com,555-3532,689 Main St,City_14,FL,Hotel,20000
60,Business_60,Contact_60,contact_60@business.com,555-1719,546 Main St,City_1,TX,Restaurant,5000
61,Business_61,Contact_61,contact_61@business.com,555-6427,645 Main St,City_5,CA,Cafe,5000
62,Business_62,Contact_62,contact_62@business.com,555-3762,314 Main St,City_8,TX,Hotel,15000
63,Business_63,Contact_63,contact_63@business.com,555-1994,727 Main St,City_2,IL,Restaurant,10000
64,Business_64,Contact_64,contact_64@business.com,555-7506,586 Main St,City_11,FL,Hotel,10000
65,Business_65,Contact_65,contact_65@business.com,555-3919,966 Main St,City_10,TX,Hotel,15000
66,Business_66,Contact_66,contact_66@business.com,555-7628,157 Main St,City_8,CA,Hotel,10000
67,Business_67,Contact_67,contact_67@business.com,555-9705,682 Main St,City_11,FL,Cafe,20000
68,Business_68,Contact_68,contact_68@business.com,555-2309,336 Main St,City_6,TX,Cafe,15000
69,Business_69,Contact_69,contact_69@business.com,555-6972,447 Main St,City_3,NY,Hotel,15000
70,Business_70,Contact_70,contact_70@business.com,555-8817,873 Main St,City_13,NY,Catering,20000
71,Business_71,Contact_71,contact_71@business.com,555-7200,425 Main St,City_16,CA,Hotel,20000
72,Business_72,Contact_72,contact_72@business.com,555-7015,762 Main St,City_5,NY,Restaurant,5000
73,Business_73,Contact_73,contact_73@business.com,555-8400,190 Main St,City_9,FL,Hotel,15000
74,Business_74,Contact_74,contact_74@business.com,555-5911,584 Main St,City_5,IL,Catering,20000
75,Business_75,Contact_75,contact_75@business.com,555-5197,951 Main St,City_15,TX,Restaurant,10000
76,Business_76,Contact_76,contact_76@business.com,555-1752,456 Main St,City_5,TX,Cafe,15000
77,Business_77,Contact_77,contact_77@business.com,555-2331,174 Main St,City_20,TX,Hotel,10000
78,Business_78,Contact_78,contact_78@business.com,555-9839,493 Main St,City_18,TX,Catering,20000
79,Business_79,Contact_79,contact_79@business.com,555-7489,709 Main St,City_1,TX,Hotel,5000
80,Business_80,Contact_80,contact_80@business.com,555-1620,313 Main St,City_5,IL,Cafe,15000
81,Business_81,Contact_81,contact_81@business.com,555-9351,407 Main St,City_7,FL,Hotel,5000
82,Business_82,Contact_82,contact_82@business.com,555-4694,426 Main St,City_16,NY,Restaurant,10000
83,Business_83,Contact_83,contact_83@business.com,555-6107,167 Main St,City_2,NY,Restaurant,15000
84,Business_84,Contact_84,contact_84@business.com,555-6836,694 Main St,City_3,TX,Hotel,15000
85,Business_85,Contact_85,contact_85@business.com,555-4211,753 Main St,City_1,NY,Restaurant,15000
86,Business_86,Contact_86,contact_86@business.com,555-4867,839 Main St,City_6,TX,Restaurant,5000
87,Business_87,Contact_87,contact_87@business.com,555-6431,746 Main St,City_3,FL,Hotel,5000
88,Business_88,Contact_88,contact_88@business.com,555-8786,979 Main St,City_17,CA,Catering,10000
89,Business_89,Contact_89,contact_89@business.com,555-1988,988 Main St,City_18,CA,Hotel,5000
90,Business_90,Contact_90,contact_90@business.com,555-5756,671 Main St,City_16,CA,Restaurant,15000
91,Business_91,Contact_91,contact_91@business.com,555-2275,887 Main St,City_6,TX,Catering,5000
92,Business_92,Contact_92,contact_92@business.com,555-6607,692 Main St,City_18,IL,Cafe,20000
93,Business_93,Contact_93,contact_93@business.com,555-7044,456 Main St,City_17,FL,Restaurant,5000
94,Business_94,Contact_94,contact_94@business.com,555-2703,452 Main St,City_7,FL,Catering,15000
95,Business_95,Contact_95,contact_95@business.com,555-5666,847 Main St,City_1,NY,Restaurant,10000
96,Business_96,Contact_96,contact_96@business.com,555-4600,899 Main St,City_5,FL,Catering,15000
97,Business_97,Contact_97,contact_97@business.com,555-3415,334 Main St,City_10,IL,Catering,20000
